,Workout start time,Workout end time,Duration (min),Activity Strain,Workout Max HR (bpm),Workout Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,Altitude gain (feet),Altitude change (feet),Distance (miles),Activity name_Inline Skating,Activity name_Manual Labor,Activity name_Motocross,Activity name_Obstacle Course Racing,Activity name_Wheelchair Pushing,Resting heart rate (bpm),Heart rate variability (ms),Blood oxygen %,Day Strain,Physiology Max HR (bpm),Physiology Average HR (bpm),Respiratory rate (rpm),Skin temp (fahrenheit),HR Zone Sum
213,2023-06-17 20:35:02,2023-06-17 23:15:08,160,13.5,155,113,29,42,25,2,0,1561,-1,11,True,False,False,False,False,63,41,93,14,155,77,16.7,89,98
214,2023-06-16 20:48:46,2023-06-16 23:49:56,181,14.7,176,106,13,14,24,8,2,1435,-3,11,True,False,False,False,False,52,39,94,16,176,76,17.9,90,61
215,2023-06-12 11:22:59,2023-06-12 13:26:15,123,4.4,119,85,43,3,0,0,0,10153,-25,77,False,False,True,False,False,57,34,94,4,120,64,17.9,93,46
216,2023-06-10 20:32:33,2023-06-10 22:49:20,136,13.5,163,119,14,41,38,5,0,1200,-427,11,True,False,False,False,False,65,32,94,14,163,74,17.5,89,98
218,2023-06-09 20:53:00,2023-06-09 23:46:59,173,13.4,157,105,14,12,32,5,0,1395,-31,11,True,False,False,False,False,0,0,0,14,157,71,,32,63
220,2023-06-05 13:19:48,2023-06-05 14:16:06,176,12.1,151,134,0,13,58,29,0,0,0,0,False,False,True,False,False,52,35,92,14,151,68,17.6,91,100
221,2023-06-03 20:57:59,2023-06-03 23:22:46,144,16.1,183,129,2,30,53,14,1,1390,-3,12,True,False,False,False,False,61,27,93,17,183,78,17.3,92,100
223,2023-06-02 20:50:15,2023-06-02 23:09:02,138,14.3,162,114,10,17,39,12,0,1405,0,11,True,False,False,False,False,54,34,93,15,162,74,17.5,90,78
224,2023-05-29 12:14:32,2023-05-29 14:37:55,143,7.4,134,93,42,19,2,0,0,10875,-19,78,False,False,True,False,False,52,32,93,8,134,64,17.9,94,63
227,2023-05-27 20:20:55,2023-05-27 22:50:24,149,14.7,182,116,23,31,34,5,2,1413,0,12,True,False,False,False,False,59,23,94,16,182,75,16.6,93,95
228,2023-05-26 20:48:04,2023-05-26 23:47:46,179,16.8,180,112,12,14,18,20,3,1495,1,11,True,False,False,False,False,50,35,92,17,180,77,17.5,93,67
229,2023-05-22 13:10:38,2023-05-22 15:53:28,162,5.4,123,86,40,6,0,0,0,335,44,4,False,False,True,False,False,57,32,93,6,137,66,17.1,94,46
231,2023-05-20 20:27:08,2023-05-20 23:02:30,155,15.8,170,125,14,23,42,18,1,1479,-2,12,True,False,False,False,False,59,32,92,16,170,74,17.7,92,98
232,2023-05-19 20:54:20,2023-05-19 23:49:42,175,13.8,159,110,22,9,40,7,0,1544,-1,11,True,False,False,False,False,56,26,94,14,159,74,16.5,32,78
234,2023-05-15 12:16:48,2023-05-15 14:17:13,120,6.1,118,92,49,18,0,0,0,9251,-37,76,False,False,True,False,False,54,34,93,8,130,66,17.5,91,67
235,2023-05-13 21:04:09,2023-05-13 23:23:05,138,12.2,159,108,42,23,19,5,0,1373,0,11,True,False,False,False,False,59,30,93,16,184,77,17.5,90,89
236,2023-05-12 20:46:01,2023-05-12 23:47:17,181,13.5,157,107,21,20,31,4,0,1362,-6,11,True,False,False,False,False,59,29,95,14,157,72,17.3,91,76
238,2023-05-08 12:03:54,2023-05-08 14:10:54,126,12.6,151,108,17,13,39,5,0,7421,-425,73,False,False,True,False,False,56,36,94,13,151,67,16.5,90,74
239,2023-05-06 20:36:54,2023-05-06 22:48:06,131,15.4,161,130,1,26,52,21,0,1327,-11,11,True,False,False,False,False,63,26,94,17,161,79,17.1,93,100
240,2023-05-05 20:36:53,2023-05-05 22:43:29,126,15.3,176,124,11,15,46,16,4,1167,6,11,True,False,False,False,False,55,32,93,15,176,72,17.2,90,92
242,2023-05-01 11:53:07,2023-05-01 14:02:36,129,11.8,148,107,20,22,32,2,0,7483,-24,74,False,False,True,False,False,57,49,93,12,148,66,16.3,91,76
244,2023-04-29 20:45:16,2023-04-29 23:26:02,160,12.9,153,112,26,41,28,1,0,1379,-4,11,True,False,False,False,False,60,32,94,15,153,75,17.6,92,96
246,2023-04-28 20:52:05,2023-04-28 23:49:18,177,13.4,168,106,28,20,15,12,0,1396,2,12,True,False,False,False,False,57,33,91,14,168,71,16.3,88,75
248,2023-04-24 13:22:31,2023-04-24 15:15:36,113,5.3,111,87,57,2,0,0,0,7776,-208,73,False,False,True,False,False,56,37,92,7,140,65,16.9,94,59
250,2023-04-22 20:34:52,2023-04-22 22:59:51,144,15.3,164,127,3,31,50,16,0,1427,-7,12,True,False,False,False,False,61,25,92,16,164,78,16.2,92,100
251,2023-04-21 20:50:30,2023-04-21 23:47:37,177,13.6,169,105,14,13,25,11,0,102,-1,2,True,False,False,False,False,60,22,93,13,169,71,16.8,90,63
252,2023-04-17 12:12:15,2023-04-18 12:12:15,176,12.4,147,67,7,0,2,0,0,15209,-36,77,False,False,True,False,False,58,35,94,4,116,61,17.9,90,9
253,2023-04-15 20:41:49,2023-04-15 23:04:20,142,14.9,181,123,9,31,51,7,2,1471,-19,11,True,False,False,False,False,64,26,95,16,181,71,17.1,89,100
255,2023-04-14 20:51:30,2023-04-14 23:46:27,174,11.9,148,106,17,36,24,0,0,1412,-2,11,True,False,False,False,False,63,26,92,13,148,74,16.8,90,77
257,2023-04-10 12:49:51,2023-04-10 15:08:36,138,4.5,113,85,39,2,0,0,0,7689,-23,77,False,False,True,False,False,0,0,0,7,140,68,,32,41
258,2023-04-08 20:38:33,2023-04-08 22:41:40,123,18.0,182,139,1,18,26,44,11,1348,-1,11,True,False,False,False,False,65,25,92,18,182,72,17.1,90,100
260,2023-04-07 20:52:53,2023-04-07 23:47:11,174,12.9,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,53,40,94,9,153,71,16.6,89,0
261,2023-04-05 14:26:08,2023-04-05 14:56:46,176,8.2,144,129,0,28,72,0,0,0,0,0,False,False,True,False,False,62,25,93,11,144,70,16.6,93,100
263,2023-04-03 13:43:32,2023-04-03 15:46:42,123,14.6,155,117,11,9,37,22,0,7741,-17,75,False,False,True,False,False,60,29,92,15,155,73,17.0,92,79
265,2023-04-01 20:44:32,2023-04-01 23:07:19,142,15.2,158,126,6,27,58,9,0,1578,2,11,True,False,False,False,False,60,32,95,17,158,73,17.4,93,100
266,2023-03-31 20:49:55,2023-03-31 23:55:09,185,14.0,163,106,11,9,32,9,0,1498,0,11,True,False,False,False,False,61,24,96,15,163,75,17.2,94,61
268,2023-03-27 13:39:28,2023-03-27 15:43:45,124,11.4,148,105,19,12,34,3,0,7486,-1,75,False,False,True,False,False,58,23,94,11,148,70,16.9,93,68
269,2023-03-25 20:49:42,2023-03-25 23:04:32,134,15.3,178,121,13,21,37,15,5,1454,-6,11,True,False,False,False,False,60,26,95,16,178,76,17.0,89,91
270,2023-03-24 20:52:13,2023-03-24 23:55:01,182,14.8,177,107,13,12,29,7,3,1497,-8,11,True,False,False,False,False,53,35,94,16,177,74,16.7,89,64
271,2023-03-20 13:21:28,2023-03-20 15:33:33,132,4.8,128,88,49,9,0,0,0,8265,-35,75,False,False,True,False,False,65,22,92,5,128,67,16.9,94,58
273,2023-03-18 20:44:39,2023-03-18 23:18:29,153,14.6,159,124,11,29,46,14,0,1465,1,12,True,False,False,False,False,66,33,94,15,159,77,17.2,93,100
274,2023-03-17 20:51:42,2023-03-17 23:50:52,179,12.9,156,107,25,16,33,4,0,3535,0,12,True,False,False,False,False,59,29,96,13,156,74,16.1,92,78
276,2023-03-16 13:41:52,2023-03-16 15:55:01,133,12.2,153,104,15,10,18,14,0,5568,-26,46,False,False,True,False,False,59,31,93,12,153,68,15.9,89,57
279,2023-03-11 21:32:32,2023-03-11 23:30:04,117,12.1,150,116,22,43,32,2,0,958,-4,9,True,False,False,False,False,64,29,93,13,150,76,16.4,91,99
280,2023-03-10 20:54:53,2023-03-10 23:48:56,174,14.3,172,110,24,11,37,6,1,1481,-1,12,True,False,False,False,False,63,28,93,15,172,77,17.1,91,79
282,2023-03-06 12:49:25,2023-03-06 15:25:51,156,11.9,150,101,29,6,27,2,0,7749,-509,76,False,False,True,False,False,57,45,94,12,150,68,17.2,91,64
283,2023-03-03 20:50:14,2023-03-03 23:53:44,183,13.7,167,105,9,12,26,13,0,1435,2,12,True,False,False,False,False,58,35,93,14,167,74,15.6,88,60
284,2023-03-02 12:35:58,2023-03-02 14:54:46,138,7.3,142,101,47,35,4,0,0,7955,-19,76,False,False,True,False,False,53,45,98,8,142,69,17.3,93,86
285,2023-02-25 20:31:01,2023-02-25 23:00:58,149,14.2,156,121,9,38,46,7,0,1388,3,12,True,False,False,False,False,0,0,0,15,156,78,,32,100
286,2023-02-24 20:49:05,2023-02-24 23:49:56,180,13.3,153,104,14,13,31,5,0,1532,-7,11,True,False,False,False,False,57,37,96,15,153,74,16.3,93,63
288,2023-02-21 11:24:42,2023-02-21 13:28:23,123,7.9,135,97,27,35,7,0,0,7670,-23,75,False,False,True,False,False,55,51,92,8,135,72,17.3,90,69
289,2023-02-18 21:00:33,2023-02-18 23:00:29,119,12.5,170,117,22,31,38,6,0,1462,67,16,True,False,False,False,False,62,34,94,14,170,76,15.7,91,97
290,2023-02-17 20:51:33,2023-02-17 23:53:12,181,14.7,170,116,22,39,22,12,1,1391,1,11,True,False,False,False,False,63,30,96,15,170,80,16.3,90,96
291,2023-02-15 13:47:21,2023-02-15 16:15:26,148,5.3,131,90,51,8,1,0,0,7912,-183,76,False,False,True,False,False,58,38,94,5,131,67,16.8,88,60
292,2023-02-11 20:50:20,2023-02-11 23:24:51,154,13.4,178,119,14,31,49,3,0,1362,-1,12,True,False,False,False,False,66,33,95,14,178,77,17.1,93,97
293,2023-02-04 20:35:26,2023-02-04 23:24:46,169,16.3,162,126,9,26,49,16,0,1400,3,12,True,False,False,False,False,71,39,94,17,162,81,18.0,94,100
295,2023-02-03 20:50:58,2023-02-03 23:49:49,178,14.6,160,111,25,7,33,14,0,1414,-2,11,True,False,False,False,False,56,36,93,15,160,74,17.7,89,79
296,2023-01-28 20:38:56,2023-01-28 23:09:29,150,10.7,154,107,33,49,11,1,0,1554,0,12,True,False,False,False,False,62,31,93,12,154,75,17.6,93,94
297,2023-01-27 20:51:08,2023-01-27 23:51:11,180,11.6,152,103,19,34,15,3,0,1447,0,11,True,False,False,False,False,69,23,92,12,152,76,16.1,32,71
299,2023-01-21 20:59:23,2023-01-21 23:18:17,138,13.2,154,117,16,46,37,1,0,1470,-1,12,True,False,False,False,False,61,38,95,16,178,78,16.8,94,100
300,2023-01-20 20:52:37,2023-01-20 23:51:28,178,16.7,180,116,32,11,27,14,4,1511,-5,11,True,False,False,False,False,59,28,94,18,180,76,17.1,92,88
301,2023-01-18 13:36:25,2023-01-18 16:11:11,154,13.2,155,104,25,4,26,6,0,8352,-352,76,False,False,True,False,False,59,32,91,14,155,71,17.0,91,61
303,2023-01-14 21:01:44,2023-01-14 23:35:31,153,17.2,193,128,10,28,42,9,11,1307,0,12,True,False,False,False,False,59,27,94,17,193,76,15.9,92,100
304,2023-01-13 20:40:12,2023-01-13 23:03:13,143,16.1,183,121,14,20,34,14,7,1245,2,12,True,False,False,False,False,62,31,94,16,183,74,16.4,91,89
305,2023-01-07 20:37:33,2023-01-07 23:10:30,152,16.4,175,126,10,20,45,22,0,1470,0,11,True,False,False,False,False,61,33,94,16,175,76,16.6,88,97
306,2023-01-06 20:55:43,2023-01-06 23:55:38,179,12.8,150,108,26,36,24,0,0,1547,-1,12,True,False,False,False,False,61,28,94,13,165,73,17.0,92,86
307,2022-12-31 20:52:39,2023-01-01 00:52:00,164,16.3,161,121,18,31,37,13,0,1212,-14,8,True,False,False,False,False,61,32,96,17,161,73,17.3,91,99
308,2022-12-30 20:29:45,2022-12-30 22:57:00,147,13.4,156,116,14,42,34,4,0,740,0,10,True,False,False,False,False,55,38,93,14,159,75,17.4,93,94
309,2022-12-26 11:54:14,2022-12-26 14:36:24,162,5.1,138,82,32,8,0,0,0,7334,-608,75,False,False,True,False,False,57,35,94,5,138,64,16.5,91,40
310,2022-12-24 20:44:31,2022-12-24 23:04:35,140,13.6,151,118,13,46,38,2,0,714,-4,9,True,False,False,False,False,68,33,94,14,161,75,17.3,88,99
311,2022-12-23 20:53:21,2022-12-23 23:46:08,172,10.3,145,101,31,41,10,0,0,733,-4,10,True,False,False,False,False,61,24,93,12,170,73,16.2,93,82
312,2022-12-16 20:51:07,2022-12-16 23:48:16,177,12.9,197,104,27,36,13,1,3,752,-4,10,True,False,False,False,False,59,34,93,14,201,74,17.1,91,80
313,2022-12-15 13:20:17,2022-12-15 15:30:12,129,1.2,121,75,13,0,0,0,0,7628,-52,79,False,False,True,False,False,56,39,93,7,155,68,15.7,91,13
314,2022-12-13 13:24:12,2022-12-13 16:45:43,201,13.8,154,105,18,15,41,2,0,12837,-39,65,False,False,True,False,False,53,53,95,16,170,72,16.5,89,76
315,2022-12-10 21:05:00,2022-12-10 23:33:00,148,13.3,162,116,23,34,29,10,0,0,0,0,True,False,False,False,False,64,25,92,18,201,78,17.4,90,96
316,2022-12-09 20:53:13,2022-12-09 23:51:25,178,10.4,153,103,43,26,14,1,0,733,-1,10,True,False,False,False,False,53,47,95,14,168,72,16.0,90,84
318,2022-12-08 12:34:12,2022-12-08 15:34:04,179,9.3,150,89,22,6,8,3,0,7842,-538,77,False,False,True,False,False,0,0,0,14,172,71,,32,39
319,2022-12-05 13:49:24,2022-12-05 16:34:32,165,4.3,118,81,20,1,0,0,0,6925,0,75,False,False,True,False,False,56,45,94,14,180,70,17.3,93,21
320,2022-12-03 21:18:55,2022-12-03 23:31:29,132,11.6,154,111,15,47,26,1,0,722,3,10,True,False,False,False,False,63,36,95,16,167,70,16.2,90,89
322,2022-12-02 20:50:13,2022-12-02 23:47:28,177,12.6,164,105,17,36,16,5,0,731,-4,10,True,False,False,False,False,61,31,94,15,164,76,16.5,92,74
324,2022-11-30 19:03:46,2022-11-30 19:51:23,47,10.8,157,130,1,21,58,20,0,0,0,0,False,True,False,False,False,57,38,93,15,157,72,17.1,92,100
326,2022-11-28 13:24:54,2022-11-28 15:38:37,133,12.8,152,105,16,6,32,7,0,7661,-203,74,False,False,True,False,False,61,34,94,15,170,72,17.3,90,61
328,2022-11-26 20:35:56,2022-11-26 23:17:01,161,12.5,159,109,31,40,21,1,0,839,0,10,True,False,False,False,False,58,41,96,16,167,79,16.1,93,93
329,2022-11-25 20:50:05,2022-11-25 23:38:36,168,16.4,188,114,18,10,23,17,5,793,0,10,True,False,False,False,False,58,27,96,18,188,75,17.0,92,73
330,2022-11-18 20:52:45,2022-11-18 23:44:31,171,10.7,151,100,24,29,14,0,0,760,-177,10,True,False,False,False,False,58,35,92,17,158,77,17.3,90,67
332,2022-11-18 12:52:01,2022-11-18 16:57:54,176,14.1,158,99,27,14,11,8,0,14426,-446,65,False,False,True,False,False,58,35,92,17,158,77,17.3,90,60
334,2022-11-14 13:09:39,2022-11-14 15:23:38,133,12.2,153,104,21,7,35,4,0,7487,0,74,False,False,True,False,False,58,31,94,14,162,72,17.1,92,67
336,2022-11-11 20:52:27,2022-11-11 23:48:18,175,13.9,160,107,25,11,28,10,0,717,-4,10,True,False,False,False,False,59,32,95,17,160,76,16.1,91,74
337,2022-11-11 13:29:14,2022-11-11 15:53:04,143,13.7,154,104,18,4,21,15,0,7472,-303,76,False,False,True,False,False,59,32,95,17,160,76,16.1,91,58
338,2022-11-05 20:34:00,2022-11-05 23:24:34,170,14.6,158,117,23,37,32,6,0,815,1,10,True,False,False,False,False,66,31,95,16,160,79,16.8,94,98
340,2022-11-04 20:55:04,2022-11-04 23:40:40,165,14.4,169,109,12,14,29,10,0,847,6,10,True,False,False,False,False,58,32,95,17,169,74,17.0,92,65
342,2022-11-03 13:14:38,2022-11-03 16:46:01,211,9.5,147,91,31,6,7,0,0,12909,1,65,False,False,True,False,False,54,38,92,15,148,72,16.6,91,44
344,2022-10-31 13:43:30,2022-10-31 15:37:44,114,13.1,153,108,11,4,25,20,0,7506,-15,75,False,False,True,False,False,53,40,95,15,153,68,16.5,87,60
345,2022-10-29 20:16:54,2022-10-29 22:40:12,143,13.0,156,114,28,39,32,0,0,749,-8,10,True,False,False,False,False,69,46,95,14,156,77,17.1,91,99
347,2022-10-28 20:51:50,2022-10-28 23:57:14,185,12.8,156,101,22,13,23,3,0,700,-3,10,True,False,False,False,False,60,33,94,17,159,75,16.2,92,61
349,2022-10-24 12:30:11,2022-10-24 14:44:45,134,6.9,140,91,25,21,7,0,0,8569,-424,76,False,False,True,False,False,55,50,92,9,147,68,16.9,92,53
351,2022-10-22 20:37:15,2022-10-22 23:06:34,149,12.8,152,112,32,38,26,2,0,747,0,10,True,False,False,False,False,60,37,94,16,169,80,16.7,92,98
352,2022-10-21 20:55:27,2022-10-21 23:04:05,128,14.2,164,117,12,17,39,17,0,739,-2,10,True,False,False,False,False,52,58,95,16,164,76,16.9,88,85
353,2022-10-21 13:42:10,2022-10-21 15:44:37,122,7.3,134,93,42,21,4,0,0,7644,-611,74,False,False,True,False,False,52,58,95,16,164,76,16.9,88,67
354,2022-10-18 12:13:10,2022-10-18 14:30:33,137,5.2,114,85,39,5,0,0,0,7481,-594,78,False,False,True,False,False,54,48,93,10,146,69,16.5,92,44
355,2022-10-15 20:50:44,2022-10-15 23:03:39,132,14.3,159,123,16,21,50,13,0,781,-4,10,True,False,False,False,False,70,46,93,15,159,77,17.1,93,100
357,2022-10-14 20:54:19,2022-10-14 23:56:07,181,11.8,155,103,22,36,16,1,0,884,0,10,True,False,False,False,False,54,45,95,16,155,75,16.4,92,75
359,2022-10-08 20:38:38,2022-10-08 23:32:37,173,8.5,144,94,29,32,2,0,0,634,0,9,True,False,False,False,False,60,31,95,11,144,74,17.4,92,63
360,2022-10-07 20:56:36,2022-10-07 23:43:15,166,13.5,158,107,20,18,25,9,0,783,0,10,True,False,False,False,False,52,44,93,15,158,72,16.2,91,72
361,2022-10-07 12:44:11,2022-10-07 15:07:25,143,6.1,143,85,33,2,3,0,0,7578,0,75,False,False,True,False,False,52,44,93,15,158,72,16.2,91,38
362,2022-10-05 13:03:08,2022-10-05 16:54:52,176,6.8,135,85,34,6,0,0,0,14062,-1,65,False,False,True,False,False,63,25,92,10,142,70,17.5,91,40
364,2022-10-03 12:50:07,2022-10-03 15:16:01,145,4.4,113,83,29,0,0,0,0,7733,6,75,False,False,True,False,False,53,44,95,5,137,64,16.5,91,29
365,2022-10-01 20:39:05,2022-10-01 23:01:37,142,17.0,171,133,3,22,42,33,0,759,0,10,True,False,False,False,False,59,41,92,18,171,71,17.1,93,100
367,2022-09-30 20:50:20,2022-09-30 23:53:18,182,14.7,157,108,15,14,25,14,0,839,3,10,True,False,False,False,False,57,37,92,15,157,72,15.9,92,68
368,2022-09-30 12:20:07,2022-09-30 14:44:45,144,6.8,133,89,42,8,2,0,0,8772,-469,76,False,False,True,False,False,57,37,92,15,157,72,15.9,92,52
369,2022-09-24 20:33:14,2022-09-24 23:06:05,152,10.0,142,104,44,46,4,0,0,748,-1,10,True,False,False,False,False,61,34,93,14,156,77,15.8,91,94
370,2022-09-23 21:03:18,2022-09-23 23:46:40,163,16.6,163,126,10,31,40,19,0,809,-1,10,True,False,False,False,False,55,49,95,18,163,79,16.9,92,100
371,2022-09-23 11:19:56,2022-09-23 13:27:11,127,8.2,131,98,50,27,1,0,0,7173,-157,73,False,False,True,False,False,55,49,95,18,163,79,16.9,92,78
372,2022-09-20 11:11:14,2022-09-20 13:24:14,133,5.7,135,90,41,12,1,0,0,6814,-625,73,False,False,True,False,False,54,46,92,6,135,68,16.5,90,54
373,2022-09-17 20:40:31,2022-09-17 22:46:26,125,16.2,164,132,1,20,54,25,0,803,0,10,True,False,False,False,False,65,31,93,17,164,78,16.7,92,100
374,2022-09-16 20:54:32,2022-09-16 23:49:21,174,14.9,163,115,42,14,30,12,0,813,1,10,True,False,False,False,False,56,37,94,17,163,76,15.8,92,98
375,2022-09-16 11:06:44,2022-09-16 13:11:57,125,9.0,149,95,47,11,5,3,0,8195,-505,73,False,False,True,False,False,56,37,94,17,163,76,15.8,92,66
376,2022-09-12 10:57:41,2022-09-12 12:48:09,110,9.0,144,101,15,48,8,0,0,7660,57,73,False,False,True,False,False,58,34,92,12,157,69,17.8,93,71
378,2022-09-10 20:42:17,2022-09-10 23:20:09,157,14.7,161,121,20,26,46,8,0,1601,-2,8,True,False,False,False,False,60,36,94,16,161,76,16.4,87,100
380,2022-09-09 20:53:06,2022-09-09 23:58:45,185,13.6,155,109,40,22,25,5,0,0,0,0,True,False,False,False,False,53,52,94,14,155,73,16.9,91,92
381,2022-09-09 11:03:22,2022-09-09 12:59:45,116,6.2,122,91,54,14,0,0,0,7326,0,73,False,False,True,False,False,53,52,94,14,155,73,16.9,91,68
382,2022-09-07 10:53:45,2022-09-07 12:59:01,125,5.9,132,87,37,7,1,0,0,8403,-244,73,False,False,True,False,False,53,41,94,12,157,71,16.5,92,45
383,2022-09-06 16:57:43,2022-09-06 17:49:00,51,9.4,158,117,20,38,33,7,0,0,0,0,False,True,False,False,False,53,53,94,13,171,69,17.1,93,98
384,2022-09-03 20:33:17,2022-09-03 22:20:01,106,11.6,157,114,22,43,31,1,0,663,27,8,True,False,False,False,False,62,38,93,14,157,78,16.1,91,97
386,2022-09-02 20:54:48,2022-09-02 23:51:07,176,12.7,163,108,46,24,21,3,0,790,-1,10,True,False,False,False,False,54,39,95,17,177,83,15.6,91,94
387,2022-09-02 11:46:27,2022-09-02 15:36:01,176,8.3,131,94,62,13,0,0,0,12464,0,65,False,False,True,False,False,54,39,95,17,177,83,15.6,91,75
388,2022-08-31 10:59:25,2022-08-31 12:59:07,119,4.8,112,85,34,5,0,0,0,6840,-195,73,False,False,True,False,False,57,48,95,6,133,67,17.0,90,39
389,2022-08-26 20:51:22,2022-08-26 23:55:12,183,13.9,156,111,29,19,37,3,0,822,-2,10,True,False,False,False,False,60,24,95,15,156,74,16.3,91,88
391,2022-08-26 12:10:18,2022-08-26 16:00:17,176,8.9,142,88,21,11,7,0,0,12520,-432,65,False,False,True,False,False,60,24,95,15,156,74,16.3,91,39
393,2022-08-23 10:42:03,2022-08-23 13:00:45,138,1.1,113,80,21,0,0,0,0,7352,-13,75,False,False,True,False,False,53,41,96,4,133,65,17.2,91,21
394,2022-08-20 20:24:43,2022-08-20 22:45:28,140,9.5,138,103,35,48,5,0,0,839,-2,10,True,False,False,False,False,57,40,96,12,155,72,16.2,92,88
395,2022-08-19 21:10:34,2022-08-19 23:59:07,168,14.2,154,116,29,28,39,3,0,761,1,10,True,False,False,False,False,58,39,94,15,154,76,16.5,90,99
396,2022-08-19 12:02:34,2022-08-19 14:10:53,128,6.4,130,88,36,13,1,0,0,6691,-100,73,False,False,True,False,False,58,39,94,15,154,76,16.5,90,50
397,2022-08-17 12:10:52,2022-08-17 16:49:59,176,7.1,128,86,40,5,0,0,0,12613,1,65,False,False,True,False,False,59,38,94,10,155,69,17.1,93,45
399,2022-08-13 20:38:48,2022-08-13 23:36:45,177,10.5,151,105,43,39,10,0,0,781,-25,10,True,False,False,False,False,66,28,94,11,151,73,16.2,90,92
400,2022-08-12 20:59:49,2022-08-12 23:56:16,176,13.8,170,107,42,12,21,9,0,854,-10,10,True,False,False,False,False,56,39,95,15,170,75,15.5,91,84
401,2022-08-09 11:00:00,2022-08-09 13:00:00,120,5.0,109,82,42,0,0,0,0,0,0,0,False,False,True,False,False,54,39,92,6,132,68,15.9,92,42
402,2022-08-06 20:55:26,2022-08-06 23:25:53,150,15.6,156,124,15,27,45,13,0,827,0,10,True,False,False,False,False,66,38,94,20,178,84,15.7,93,100
403,2022-08-05 20:59:33,2022-08-05 23:51:15,171,12.7,150,108,47,26,23,0,0,993,0,10,True,False,False,False,False,53,45,94,17,154,78,15.1,32,96
404,2022-08-05 12:01:00,2022-08-05 15:52:29,176,7.6,132,88,34,10,0,0,0,12728,-561,65,False,False,True,False,False,53,45,94,17,154,78,15.1,32,44
405,2022-08-02 11:04:03,2022-08-02 13:08:30,124,4.0,103,78,12,0,0,0,0,6640,-5,73,False,False,True,False,False,54,44,96,6,132,67,17.3,89,12
