Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
11/30/22 2:12,12/1/22 4:42,UTC-08:00,11/30/22 19:03,11/30/22 19:51,47,Manual Labor-Shoes,10.8,472,157,130,1,21,58,20,0,FALSE,,,
9/6/22 0:00,9/6/22 23:42,UTC-07:00,9/6/22 16:57,9/6/22 17:49,51,Manual Labor-Shoes,9.4,385,158,117,20,38,33,7,0,FALSE,,,
6/16/22 1:24,6/17/22 0:59,UTC-07:00,6/16/22 20:27,6/16/22 21:15,48,Manual Labor-Shoes,9.7,363,175,116,10,48,32,6,4,FALSE,,,
1/22/22 1:18,1/23/22 0:50,UTC-08:00,1/22/22 15:15,1/22/22 15:53,38,Manual Labor-Shoes,8.8,361,163,131,3,56,34,7,0,FALSE,,,
8/25/21 4:33,8/25/21 23:11,UTC-07:00,8/25/21 20:12,8/25/21 21:54,101,Manual Labor-Shoes,17.9,1245,189,138,4,12,32,27,22,FALSE,,,
7/25/21 0:56,7/26/21 0:49,UTC-07:00,7/25/21 20:49,7/25/21 21:29,40,Manual Labor-Shoes,9.8,420,158,134,0,44,49,7,0,FALSE,,,
7/10/21 0:56,7/11/21 1:05,UTC-07:00,7/10/21 11:08,7/10/21 11:37,28,Manual Labor-Shoes,11.1,361,190,145,1,25,38,22,14,FALSE,,,
4/14/21 23:40,4/15/21 23:42,UTC-07:00,4/15/21 22:00,4/15/21 22:55,55,Manual Labor-Shoes,13.6,599,193,136,17,5,23,28,15,FALSE,,,
3/7/21 0:45,3/7/21 22:44,UTC-08:00,3/7/21 18:41,3/7/21 19:20,38,Manual Labor-Shoes,9.6,374,169,131,5,36,44,14,0,FALSE,,,
2/20/21 1:05,2/21/21 1:05,UTC-08:00,2/20/21 13:25,2/20/21 13:50,24,Manual Labor-Shoes,11.1,318,179,146,3,11,27,41,18,FALSE,,,
2/17/21 21:52,2/19/21 2:16,UTC-08:00,2/18/21 23:57,2/19/21 0:18,20,Manual Labor-Shoes,11.9,325,183,158,0,4,11,50,35,FALSE,,,
2/8/21 23:13,2/9/21 23:14,UTC-08:00,2/9/21 21:24,2/9/21 21:54,29,Manual Labor-Shoes,14.4,466,191,154,2,7,10,22,59,FALSE,,,
1/27/21 2:54,1/28/21 0:08,UTC-08:00,1/27/21 22:13,1/27/21 22:47,33,Manual Labor-Shoes,14,464,189,146,0,16,29,9,46,FALSE,,,
1/24/21 9:16,1/24/21 23:19,UTC-08:00,1/24/21 20:52,1/24/21 21:27,35,Manual Labor-Shoes,13.4,420,190,138,4,37,18,14,27,FALSE,,,
1/14/21 23:40,1/16/21 1:04,UTC-08:00,1/15/21 18:17,1/15/21 19:05,47,Manual Labor-Shoes,14.1,550,195,139,18,17,14,18,32,FALSE,,,
1/12/21 1:50,1/13/21 0:08,UTC-08:00,1/12/21 22:45,1/12/21 23:32,46,Manual Labor-Shoes,16.1,706,189,155,10,4,2,32,51,FALSE,,,
1/8/21 1:35,1/9/21 0:54,UTC-08:00,1/8/21 16:45,1/8/21 17:11,25,Manual Labor-Shoes,13.2,394,190,156,0,9,19,28,44,FALSE,,,